                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4936,                 3.1483,                 2.2439,                0.80572,                0.28879,                0.34642,                0.17473,                 2.1886,                 2.9184,                 2.2812,              0.0033266,              0.0033266,              0.0033266
                      2,                 2.5072,                    3.1,                 2.2349,                0.51371,                 0.2931,                0.30216,                0.16304,                 2.2316,                 2.7544,                 2.2943,              0.0066567,              0.0066567,              0.0066567
                      3,                 2.4577,                 3.1844,                  2.228,                0.81037,                0.28448,                0.34844,                0.18275,                  2.207,                 2.8184,                   2.29,              0.0099834,              0.0099834,              0.0099834
                      4,                   2.49,                 3.2498,                 2.2399,                 0.5457,                0.30172,                0.30641,                0.15113,                 2.2562,                 2.8071,                 2.3204,              0.0099851,              0.0099851,              0.0099851
                      5,                 2.4446,                 3.1075,                 2.1896,                0.79188,                0.29521,                0.36159,                0.17815,                 2.2081,                 2.5995,                 2.2952,              0.0099802,              0.0099802,              0.0099802
                      6,                 2.3522,                 3.0075,                  2.144,                0.70587,                0.30172,                0.34652,                 0.1781,                 2.1245,                 2.6131,                 2.2087,              0.0099753,              0.0099753,              0.0099753
                      7,                 2.3507,                 3.0458,                  2.129,                0.48828,                 0.2931,                0.29884,                0.15675,                 2.1514,                 2.6319,                 2.2305,              0.0099703,              0.0099703,              0.0099703
                      8,                 2.3139,                 2.9215,                 2.0923,                0.73069,                0.30603,                0.37657,                0.20011,                 2.1084,                   2.51,                 2.1491,              0.0099654,              0.0099654,              0.0099654
                      9,                 2.3077,                 2.8849,                 2.0902,                0.60603,                0.36638,                0.40938,                0.22251,                 2.0288,                 2.4938,                 2.1545,              0.0099604,              0.0099604,              0.0099604
                     10,                 2.2563,                 2.8434,                 2.0615,                0.39139,                0.33621,                0.21654,                0.10409,                 1.9865,                 3.6888,                 2.0898,              0.0099555,              0.0099555,              0.0099555
                     11,                 2.2201,                 2.7498,                 2.0592,                0.66453,                0.39277,                0.43461,                 0.2253,                 1.9876,                 2.3646,                   2.11,              0.0099505,              0.0099505,              0.0099505
                     12,                 2.2353,                 2.7162,                 2.0572,                0.51478,                0.35345,                0.38129,                0.19352,                 2.0174,                 2.4984,                  2.141,              0.0099456,              0.0099456,              0.0099456
                     13,                 2.2061,                   2.66,                 2.0271,                0.50876,                0.36638,                0.37306,                0.18202,                  1.955,                 2.2566,                 2.1007,              0.0099406,              0.0099406,              0.0099406
                     14,                 2.1657,                 2.6663,                  2.011,                0.63458,                0.34483,                0.39978,                0.20892,                 2.0075,                 2.3304,                 2.0792,              0.0099357,              0.0099357,              0.0099357
                     15,                 2.1657,                 2.5554,                 2.0154,                 0.8066,                0.33621,                0.42342,                0.20743,                 1.9178,                 2.1731,                 2.0382,              0.0099307,              0.0099307,              0.0099307
                     16,                 2.1444,                  2.544,                 2.0097,                0.64487,                0.39136,                 0.4506,                0.23956,                 1.8807,                 2.0947,                 1.9899,              0.0099258,              0.0099258,              0.0099258
                     17,                 2.1092,                 2.4657,                 1.9592,                 0.7443,                0.36207,                0.44999,                0.21207,                 1.8993,                 2.1311,                 2.0478,              0.0099208,              0.0099208,              0.0099208
                     18,                 2.0808,                 2.3885,                 1.9556,                0.65778,                0.40086,                 0.4757,                0.24265,                 1.8295,                 2.0036,                 1.9937,              0.0099159,              0.0099159,              0.0099159
                     19,                 2.0648,                 2.4395,                 1.9397,                0.56209,                0.42241,                 0.4707,                0.23588,                 1.8678,                 2.1346,                 1.9905,              0.0099109,              0.0099109,              0.0099109
                     20,                 2.0753,                 2.3459,                 1.9359,                0.67619,                0.43966,                0.52358,                0.24582,                 1.8327,                 2.0069,                   1.97,               0.009906,               0.009906,               0.009906
                     21,                 2.0463,                 2.3153,                 1.9065,                0.50691,                0.43103,                0.45041,                 0.2449,                 1.8399,                 2.0674,                 1.9434,               0.009901,               0.009901,               0.009901
                     22,                 2.0068,                 2.2794,                 1.8884,                0.57682,                0.42672,                0.51045,                0.25525,                 1.7947,                   1.99,                 1.9445,              0.0098961,              0.0098961,              0.0098961
                     23,                 1.9621,                  2.239,                 1.8656,                0.56142,                0.48004,                 0.4958,                0.25687,                 1.8203,                 1.9694,                 1.9518,              0.0098911,              0.0098911,              0.0098911
                     24,                 2.0087,                  2.246,                 1.9023,                0.54032,                0.42672,                0.46578,                0.23738,                  1.773,                 1.9489,                 1.9242,              0.0098861,              0.0098861,              0.0098861
                     25,                 1.9733,                 2.1867,                 1.8668,                0.58204,                0.40217,                0.45362,                0.22763,                 1.7557,                 1.9515,                 1.9068,              0.0098812,              0.0098812,              0.0098812
                     26,                 1.9936,                 2.1659,                 1.8712,                0.64699,                0.46121,                 0.5144,                0.27172,                 1.7726,                 1.9374,                 1.9324,              0.0098763,              0.0098763,              0.0098763
                     27,                 1.9535,                 2.1427,                 1.8505,                0.66262,                0.44867,                0.50249,                0.25857,                 1.7543,                 1.9592,                 1.9137,              0.0098713,              0.0098713,              0.0098713
                     28,                 1.9065,                 2.0681,                 1.8337,                0.59438,                0.47845,                0.53341,                0.27942,                 1.7656,                 1.8505,                 1.9452,              0.0098664,              0.0098664,              0.0098664
                     29,                 1.9394,                 2.0912,                 1.8359,                 0.6265,                0.46983,                0.51123,                0.25016,                 1.7407,                 1.8182,                 1.9418,              0.0098614,              0.0098614,              0.0098614
                     30,                 1.9504,                 2.0859,                 1.8576,                0.70625,                0.46983,                 0.5438,                0.28354,                 1.7209,                 1.9375,                 1.8996,              0.0098565,              0.0098565,              0.0098565
                     31,                 1.9245,                 2.0353,                 1.8365,                0.53583,                0.46983,                0.47677,                0.21914,                 1.7304,                 1.9149,                 1.9074,              0.0098515,              0.0098515,              0.0098515
                     32,                 1.9049,                 2.0667,                 1.8323,                0.65459,                0.53017,                0.58091,                0.29521,                 1.7149,                 1.8123,                 1.8842,              0.0098466,              0.0098466,              0.0098466
                     33,                 1.9037,                  2.047,                 1.8306,                 0.6176,                0.47845,                0.51524,                0.27154,                 1.7071,                 1.8283,                 1.9026,              0.0098416,              0.0098416,              0.0098416
                     34,                 1.8915,                  2.032,                 1.8333,                0.57097,                0.53017,                  0.523,                0.25773,                 1.7017,                 1.8319,                   1.87,              0.0098367,              0.0098367,              0.0098367
                     35,                 1.9096,                  2.038,                 1.8271,                0.64687,                    0.5,                0.55964,                0.27294,                 1.6972,                 1.7693,                 1.8807,              0.0098317,              0.0098317,              0.0098317
                     36,                 1.8734,                 2.0146,                 1.8118,                0.62487,                0.53448,                0.55013,                0.27003,                 1.7045,                 1.7505,                 1.8826,              0.0098268,              0.0098268,              0.0098268
                     37,                 1.8806,                 1.9326,                 1.8065,                 0.6553,                0.51624,                0.58418,                0.29883,                 1.6963,                 1.8065,                 1.8714,              0.0098218,              0.0098218,              0.0098218
                     38,                 1.8705,                 1.9127,                 1.7758,                 0.5925,                0.53017,                0.57689,                0.29464,                 1.6343,                 1.6903,                 1.8211,              0.0098169,              0.0098169,              0.0098169
                     39,                 1.8478,                 1.8821,                 1.7797,                0.71223,                0.50142,                0.61429,                0.31837,                 1.7135,                  1.682,                 1.8842,              0.0098119,              0.0098119,              0.0098119
                     40,                 1.8697,                 1.9044,                 1.7815,                0.62256,                 0.5119,                0.57011,                0.26377,                 1.7254,                 1.7876,                 1.9026,               0.009807,               0.009807,               0.009807
                     41,                 1.8652,                 1.9186,                 1.7852,                0.65215,                0.54952,                0.62121,                 0.3145,                 1.6576,                 1.7914,                 1.8293,               0.009802,               0.009802,               0.009802
                     42,                  1.827,                 1.8932,                 1.7702,                0.68771,                0.53879,                0.63689,                0.30347,                 1.6586,                 1.6944,                 1.8317,               0.009797,               0.009797,               0.009797
                     43,                 1.8471,                 1.8776,                 1.7749,                0.64751,                0.53841,                0.60021,                0.29772,                 1.7241,                 1.6978,                 1.8823,              0.0097921,              0.0097921,              0.0097921
                     44,                 1.8416,                 1.8886,                  1.772,                0.76509,                0.56034,                0.62067,                0.31478,                 1.6679,                 1.6536,                 1.8529,              0.0097871,              0.0097871,              0.0097871
                     45,                  1.821,                 1.8507,                 1.7633,                0.64703,                0.53879,                0.60964,                0.30714,                 1.6818,                 1.7764,                 1.8655,              0.0097822,              0.0097822,              0.0097822
                     46,                 1.8093,                 1.8411,                 1.7562,                0.78515,                0.50862,                0.64402,                0.32594,                 1.6362,                 1.6773,                 1.8275,              0.0097773,              0.0097773,              0.0097773
                     47,                 1.8253,                 1.8565,                 1.7386,                0.62586,                0.53448,                0.62248,                0.31838,                 1.6492,                 1.6565,                 1.8184,              0.0097723,              0.0097723,              0.0097723
                     48,                 1.8106,                  1.811,                 1.7475,                0.75929,                0.49138,                 0.6317,                0.31547,                 1.6318,                 1.6923,                 1.8121,              0.0097674,              0.0097674,              0.0097674
                     49,                 1.7883,                  1.796,                 1.7391,                0.74814,                0.52497,                0.64873,                0.33886,                 1.6865,                 1.6781,                 1.8687,              0.0097624,              0.0097624,              0.0097624
                     50,                 1.8284,                 1.8342,                 1.7764,                 0.6468,                0.46571,                0.57636,                0.29803,                 1.6421,                 1.6962,                 1.8255,              0.0097575,              0.0097575,              0.0097575
                     51,                 1.8094,                 1.7993,                 1.7487,                0.66962,                0.54741,                0.63692,                 0.3431,                 1.5957,                 1.6374,                  1.797,              0.0097525,              0.0097525,              0.0097525
                     52,                 1.7975,                 1.7574,                 1.7306,                0.59631,                 0.5819,                0.59337,                0.29796,                 1.6566,                 1.6408,                  1.847,              0.0097476,              0.0097476,              0.0097476
                     53,                 1.7954,                 1.7496,                 1.7386,                0.74589,                0.57759,                0.67561,                0.34824,                 1.6152,                 1.5869,                 1.8067,              0.0097426,              0.0097426,              0.0097426
                     54,                 1.7747,                 1.7446,                 1.7145,                 0.5765,                0.56916,                0.59903,                0.30226,                 1.6553,                  1.616,                  1.829,              0.0097377,              0.0097377,              0.0097377
                     55,                  1.748,                 1.6941,                 1.7091,                0.68375,                0.53448,                 0.6414,                0.32507,                 1.6635,                 1.6383,                 1.8655,              0.0097327,              0.0097327,              0.0097327
                     56,                 1.7402,                 1.6626,                 1.7001,                0.74793,                0.52155,                0.64775,                0.32567,                 1.6079,                 1.6207,                 1.8047,              0.0097278,              0.0097278,              0.0097278
                     57,                 1.7747,                 1.7243,                 1.7541,                0.79207,                0.53017,                 0.6819,                0.34219,                 1.6636,                 1.5814,                 1.8611,              0.0097228,              0.0097228,              0.0097228
                     58,                 1.7483,                 1.6942,                 1.7245,                0.78508,                0.48707,                0.64452,                0.33365,                 1.6744,                 1.5461,                 1.8428,              0.0097179,              0.0097179,              0.0097179
                     59,                 1.7668,                 1.6775,                 1.7175,                0.85987,                0.50255,                 0.6749,                0.35396,                 1.6445,                  1.555,                 1.8173,              0.0097129,              0.0097129,              0.0097129
                     60,                 1.7448,                 1.6863,                 1.7044,                0.65711,                0.56897,                0.66287,                0.33416,                 1.6445,                 1.6348,                 1.8333,               0.009708,               0.009708,               0.009708
                     61,                 1.7225,                 1.6574,                 1.6885,                0.78545,                0.56034,                0.68793,                0.34907,                 1.6173,                 1.5607,                 1.8184,               0.009703,               0.009703,               0.009703
                     62,                 1.7351,                 1.6679,                 1.6886,                0.71868,                0.56159,                 0.6733,                0.34907,                 1.6134,                 1.5881,                  1.802,               0.009698,               0.009698,               0.009698
                     63,                 1.7289,                 1.6226,                 1.6923,                0.78869,                0.55603,                0.67535,                0.33909,                 1.6067,                 1.5963,                 1.8357,              0.0096931,              0.0096931,              0.0096931
                     64,                 1.7394,                 1.6211,                 1.7025,                0.76965,                0.53017,                0.65833,                0.32841,                 1.6258,                 1.5084,                 1.8119,              0.0096881,              0.0096881,              0.0096881
                     65,                   1.74,                 1.6175,                 1.6848,                  0.736,                0.57682,                0.67913,                0.35941,                 1.5793,                 1.5525,                 1.7638,              0.0096832,              0.0096832,              0.0096832
                     66,                 1.6934,                 1.5979,                 1.6685,                 0.7472,                0.59052,                0.69029,                0.35473,                 1.5637,                 1.5323,                 1.7679,              0.0096783,              0.0096783,              0.0096783
                     67,                 1.7092,                 1.6289,                 1.6825,                0.69009,                0.60345,                0.66873,                0.34198,                 1.5954,                 1.5563,                 1.7901,              0.0096733,              0.0096733,              0.0096733
                     68,                 1.7156,                 1.6413,                 1.6833,                0.76436,                0.60121,                0.68495,                0.34255,                 1.5947,                 1.5863,                 1.8125,              0.0096684,              0.0096684,              0.0096684
                     69,                 1.7224,                 1.5929,                 1.6723,                  0.684,                0.63362,                0.66538,                0.33819,                 1.5758,                 1.5502,                 1.7794,              0.0096634,              0.0096634,              0.0096634
                     70,                 1.6871,                 1.5687,                 1.6564,                0.67308,                0.61638,                0.69884,                0.36118,                 1.6389,                 1.4596,                 1.8016,              0.0096585,              0.0096585,              0.0096585
                     71,                 1.6898,                 1.5287,                 1.6581,                0.75059,                0.65086,                0.72088,                0.36173,                 1.5746,                 1.4691,                 1.7814,              0.0096535,              0.0096535,              0.0096535
                     72,                 1.6962,                 1.5644,                 1.6578,                0.71495,                0.59461,                0.64311,                0.33126,                 1.5474,                 1.4798,                  1.755,              0.0096486,              0.0096486,              0.0096486
                     73,                 1.6765,                 1.5697,                 1.6472,                0.70409,                0.61538,                 0.6958,                0.37119,                 1.5369,                 1.4769,                 1.7689,              0.0096436,              0.0096436,              0.0096436
                     74,                 1.7039,                 1.5395,                 1.6886,                0.66064,                0.69647,                0.69931,                0.36572,                 1.5567,                 1.4787,                 1.7487,              0.0096387,              0.0096387,              0.0096387
                     75,                 1.6988,                 1.5823,                 1.6683,                0.76751,                0.59914,                0.70987,                0.34678,                 1.5816,                 1.4949,                 1.7797,              0.0096337,              0.0096337,              0.0096337
                     76,                 1.6433,                 1.4735,                 1.6498,                0.71365,                0.63379,                0.71311,                0.37407,                 1.5467,                 1.4205,                 1.7677,              0.0096288,              0.0096288,              0.0096288
                     77,                 1.6834,                 1.5535,                 1.6604,                0.73421,                0.60345,                0.71073,                0.34104,                  1.634,                 1.5143,                 1.8254,              0.0096238,              0.0096238,              0.0096238
                     78,                 1.6604,                 1.5495,                 1.6434,                0.75803,                0.59052,                0.69556,                0.36845,                  1.571,                 1.5116,                 1.7974,              0.0096188,              0.0096188,              0.0096188
                     79,                 1.6687,                 1.4861,                 1.6282,                0.68237,                0.56485,                 0.6751,                0.35938,                 1.5858,                 1.4713,                 1.7852,              0.0096139,              0.0096139,              0.0096139
                     80,                 1.6659,                 1.5012,                 1.6315,                0.75553,                0.62611,                0.72319,                0.38075,                 1.5498,                 1.4616,                 1.7505,               0.009609,               0.009609,               0.009609
                     81,                 1.6831,                 1.5574,                 1.6554,                0.76338,                0.61186,                0.72398,                0.38432,                 1.5221,                 1.3916,                 1.7476,               0.009604,               0.009604,               0.009604
                     82,                 1.6626,                 1.4939,                 1.6556,                0.75991,                0.60027,                0.70997,                0.38064,                 1.5266,                 1.4507,                 1.7505,               0.009599,               0.009599,               0.009599
                     83,                 1.6377,                 1.4689,                 1.6287,                0.76775,                0.56897,                0.71069,                0.36809,                  1.552,                 1.4453,                 1.7752,              0.0095941,              0.0095941,              0.0095941
                     84,                 1.6687,                 1.4935,                 1.6555,                0.72622,                0.61741,                 0.7154,                0.37963,                 1.5559,                 1.3949,                 1.7804,              0.0095892,              0.0095892,              0.0095892
                     85,                 1.6599,                 1.5051,                 1.6316,                  0.777,                0.66379,                0.75888,                0.40762,                 1.5386,                 1.3756,                 1.7626,              0.0095842,              0.0095842,              0.0095842
                     86,                 1.6359,                 1.4396,                 1.6053,                0.78611,                0.66537,                0.75919,                0.39456,                 1.5462,                 1.3952,                 1.7754,              0.0095793,              0.0095793,              0.0095793
                     87,                 1.6161,                 1.4221,                 1.6041,                0.74778,                0.67729,                0.75399,                0.38883,                 1.5433,                 1.4033,                 1.7762,              0.0095743,              0.0095743,              0.0095743
                     88,                 1.6537,                 1.4561,                 1.6537,                0.72295,                0.67487,                0.75012,                0.39113,                 1.5089,                 1.4538,                 1.7394,              0.0095694,              0.0095694,              0.0095694
                     89,                 1.6058,                 1.4192,                 1.5988,                 0.7876,                0.65517,                0.73342,                0.38346,                 1.5286,                 1.4222,                 1.7455,              0.0095644,              0.0095644,              0.0095644
                     90,                   1.64,                 1.4123,                 1.6211,                0.78308,                0.63793,                0.76871,                0.40171,                 1.5762,                  1.379,                 1.8036,              0.0095595,              0.0095595,              0.0095595
                     91,                 1.6241,                 1.4207,                 1.6047,                0.77041,                0.63362,                0.73856,                0.37884,                 1.5566,                 1.3834,                 1.7786,              0.0095545,              0.0095545,              0.0095545
                     92,                 1.6128,                 1.3827,                 1.5918,                0.78362,                0.62931,                0.74444,                 0.3947,                 1.5625,                 1.3748,                 1.7606,              0.0095496,              0.0095496,              0.0095496
                     93,                  1.637,                 1.4061,                 1.6077,                0.72809,                0.65517,                0.72555,                0.38303,                 1.6136,                 1.4123,                 1.8136,              0.0095446,              0.0095446,              0.0095446
                     94,                  1.627,                 1.4079,                 1.6114,                0.66596,                0.66169,                0.70283,                0.38623,                 1.5937,                 1.4526,                 1.7962,              0.0095397,              0.0095397,              0.0095397
                     95,                  1.616,                 1.3785,                 1.5906,                 0.8118,                0.61356,                0.73412,                0.41294,                 1.5098,                 1.4087,                 1.7483,              0.0095347,              0.0095347,              0.0095347
                     96,                 1.6229,                 1.3601,                  1.591,                0.73506,                0.70556,                 0.7496,                 0.3883,                  1.569,                 1.3926,                  1.782,              0.0095298,              0.0095298,              0.0095298
                     97,                 1.6053,                 1.3869,                 1.6024,                0.77566,                0.59613,                0.71996,                0.39394,                 1.5528,                 1.4638,                 1.7762,              0.0095248,              0.0095248,              0.0095248
                     98,                 1.6087,                 1.4145,                 1.5957,                0.77087,                0.62931,                0.71917,                0.36803,                  1.543,                 1.4251,                 1.7674,              0.0095198,              0.0095198,              0.0095198
                     99,                 1.5997,                 1.3976,                 1.5968,                0.76132,                0.68744,                 0.7706,                0.40618,                 1.5322,                 1.3543,                 1.7546,              0.0095149,              0.0095149,              0.0095149
                    100,                 1.6041,                  1.382,                 1.5916,                0.79682,                0.58621,                0.71189,                0.36735,                 1.5396,                 1.4268,                 1.7641,                0.00951,                0.00951,                0.00951
                    101,                 1.5949,                 1.3564,                 1.5925,                0.78016,                0.68835,                0.77838,                0.41581,                   1.52,                 1.3396,                 1.7301,               0.009505,               0.009505,               0.009505
                    102,                  1.593,                 1.3625,                 1.5697,                0.74195,                 0.7069,                0.77494,                0.39868,                 1.5363,                  1.351,                 1.7647,                 0.0095,                 0.0095,                 0.0095
                    103,                 1.6398,                 1.3688,                 1.6302,                0.69999,                0.70398,                0.75446,                0.38712,                 1.5574,                 1.3732,                  1.767,              0.0094951,              0.0094951,              0.0094951
                    104,                 1.6009,                 1.3428,                 1.5859,                0.74292,                0.71552,                0.75008,                 0.3962,                 1.5817,                  1.359,                 1.7689,              0.0094902,              0.0094902,              0.0094902
                    105,                 1.5956,                 1.3601,                 1.6023,                0.80769,                0.66981,                0.76553,                0.40622,                 1.5529,                 1.3395,                 1.7494,              0.0094852,              0.0094852,              0.0094852
                    106,                 1.5969,                 1.3666,                 1.5878,                0.70264,                0.68534,                0.73496,                0.39356,                 1.5136,                 1.3496,                 1.7405,              0.0094803,              0.0094803,              0.0094803
                    107,                 1.5885,                 1.3831,                 1.5792,                0.80295,                0.55603,                0.71424,                0.39589,                 1.5176,                 1.3484,                 1.7472,              0.0094753,              0.0094753,              0.0094753
                    108,                 1.6033,                 1.3281,                 1.5831,                0.76803,                0.65086,                0.76365,                0.40702,                 1.5121,                 1.3515,                 1.7415,              0.0094704,              0.0094704,              0.0094704
                    109,                 1.5681,                 1.3338,                 1.5709,                 0.7667,                0.69828,                0.74199,                0.39334,                  1.525,                 1.3724,                 1.7422,              0.0094654,              0.0094654,              0.0094654
                    110,                 1.6066,                 1.3008,                 1.5796,                0.76736,                0.69397,                0.74483,                0.38487,                 1.5379,                 1.3453,                 1.7642,              0.0094605,              0.0094605,              0.0094605
                    111,                 1.5899,                 1.3106,                 1.5675,                0.79098,                0.68103,                0.76673,                0.40639,                 1.4958,                 1.3131,                 1.7166,              0.0094555,              0.0094555,              0.0094555
                    112,                 1.5866,                 1.3238,                 1.5696,                0.79137,                0.70304,                0.77757,                0.41433,                 1.5468,                 1.2635,                 1.7415,              0.0094506,              0.0094506,              0.0094506
                    113,                 1.5705,                 1.3143,                 1.5776,                0.77669,                0.71983,                0.78068,                0.41274,                 1.5538,                 1.3185,                 1.7808,              0.0094456,              0.0094456,              0.0094456
                    114,                 1.5338,                 1.2702,                 1.5393,                0.73148,                0.71983,                0.76269,                0.41563,                 1.5846,                 1.2533,                 1.8062,              0.0094407,              0.0094407,              0.0094407
                    115,                 1.5937,                 1.3163,                 1.5795,                0.79085,                0.66379,                 0.7591,                 0.4114,                 1.5428,                 1.3422,                 1.7599,              0.0094357,              0.0094357,              0.0094357
                    116,                  1.553,                 1.2627,                 1.5497,                0.73606,                0.71121,                 0.7527,                0.40629,                 1.5174,                 1.3174,                 1.7356,              0.0094307,              0.0094307,              0.0094307
                    117,                  1.558,                 1.3061,                 1.5655,                 0.7579,                0.74138,                0.77959,                0.41862,                 1.5194,                 1.3068,                 1.7192,              0.0094258,              0.0094258,              0.0094258
                    118,                 1.5725,                  1.307,                 1.5697,                0.76597,                 0.7069,                 0.7714,                0.41598,                 1.5139,                 1.2739,                 1.7231,              0.0094208,              0.0094208,              0.0094208
                    119,                   1.57,                  1.306,                 1.5764,                0.75395,                0.68966,                0.75702,                0.41927,                 1.4622,                 1.2853,                 1.7019,              0.0094159,              0.0094159,              0.0094159
                    120,                  1.557,                 1.2774,                  1.565,                0.72953,                0.72845,                0.76428,                0.40649,                 1.5373,                 1.2979,                  1.756,              0.0094109,              0.0094109,              0.0094109
                    121,                  1.587,                 1.2988,                 1.5781,                 0.7277,                0.72572,                0.76268,                 0.3983,                 1.5395,                 1.3035,                 1.7574,               0.009406,               0.009406,               0.009406
                    122,                 1.5642,                 1.3113,                 1.5676,                0.78359,                0.60867,                0.75285,                0.40001,                 1.5057,                 1.3287,                 1.7131,               0.009401,               0.009401,               0.009401
                    123,                 1.5686,                 1.2971,                 1.5772,                0.70042,                0.72414,                0.74449,                0.39419,                 1.5684,                 1.3002,                  1.768,              0.0093961,              0.0093961,              0.0093961
                    124,                 1.5612,                 1.2998,                 1.5517,                0.76472,                0.75652,                0.77254,                0.41213,                 1.5403,                 1.2939,                 1.7546,              0.0093912,              0.0093912,              0.0093912
                    125,                 1.5506,                 1.2746,                  1.548,                0.71717,                0.71552,                0.76485,                0.41737,                 1.5372,                 1.2525,                 1.7542,              0.0093862,              0.0093862,              0.0093862
                    126,                 1.5381,                 1.2545,                  1.551,                0.74567,                0.73276,                0.76699,                0.41229,                 1.5449,                 1.2431,                 1.7455,              0.0093813,              0.0093813,              0.0093813
                    127,                 1.5364,                 1.2601,                  1.544,                 0.7742,                0.72845,                0.78641,                0.42573,                 1.4759,                 1.2432,                  1.694,              0.0093763,              0.0093763,              0.0093763
