                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0471,                  13.04,                 3.5575,                      0,                      0,                      0,                      0,                 3.5023,                 4.7436,                 3.4261,              0.0033083,              0.0033083,              0.0033083
                      2,                 3.5478,                   7.46,                 3.1451,                0.00123,                 0.1681,                0.00576,                0.00218,                 3.3729,                 4.7121,                 3.2145,               0.006635,               0.006635,               0.006635
                      3,                 3.2808,                 5.1756,                  2.849,                0.60126,                0.17241,                0.17534,                0.06305,                 3.3491,                 14.025,                  3.269,              0.0099552,              0.0099552,              0.0099552
                      4,                 3.0583,                 4.5335,                 2.5825,                0.72779,                   0.25,                 0.2486,                0.11039,                 2.7595,                 7.8005,                  2.571,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.8645,                 4.0145,                 2.4212,                0.63215,                0.26724,                0.23204,                0.10095,                  2.637,                 3.4934,                 2.4317,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.7207,                 3.6185,                 2.2807,                0.55142,                0.25862,                0.27077,                0.14061,                 2.5055,                   3.13,                 2.3048,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.6294,                 3.3036,                 2.1869,                 0.7423,                0.28448,                0.31946,                0.15162,                 2.4023,                 3.0881,                 2.2442,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.5835,                 3.1316,                 2.1627,                 0.9272,                0.28448,                0.34342,                0.18555,                 2.2163,                 2.6484,                 2.1523,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.5055,                 3.0163,                  2.085,                0.91588,                0.31897,                0.37764,                 0.1824,                 2.2427,                 2.4998,                 2.1292,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.4458,                 2.8939,                 2.0385,                0.83506,                0.30603,                0.35418,                0.18806,                 2.3807,                 2.6581,                 2.2291,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.4008,                 2.7747,                 2.0239,                0.90301,                 0.2931,                0.36079,                0.20552,                 2.0696,                 2.4829,                 2.0218,               0.009901,               0.009901,               0.009901
                     12,                 2.3631,                 2.7348,                 2.0011,                0.90438,                0.32616,                0.39664,                0.21314,                 2.1033,                 2.4216,                 2.0349,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.3043,                 2.6897,                 1.9689,                0.96084,                0.28448,                0.38747,                0.19411,                 2.2023,                 2.5138,                 2.0933,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.3131,                  2.606,                 1.9525,                0.93072,                0.29741,                0.39729,                 0.2055,                  2.077,                 2.2744,                 2.0177,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.2973,                 2.5776,                 1.9462,                0.69632,                0.34914,                0.40414,                0.20832,                 2.1187,                 2.3212,                 2.0007,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.2822,                 2.4628,                 1.8996,                0.62557,                0.31034,                0.35577,                0.19118,                 2.0832,                 2.5756,                 1.9744,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.2462,                 2.4587,                    1.9,                0.70657,                0.30603,                0.37274,                0.18078,                 2.0993,                 2.1004,                 1.9906,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.1926,                 2.3189,                 1.8603,                0.80264,                 0.3319,                0.45267,                0.21911,                 1.9884,                 2.0648,                 1.9034,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.1942,                 2.2957,                 1.8608,                0.85335,                0.38362,                0.48315,                0.24029,                 1.9775,                 2.1017,                 1.9088,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.1902,                 2.2936,                 1.8499,                0.69844,                0.44828,                0.51494,                0.25145,                 2.0116,                 1.9303,                 1.9253,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.1676,                 2.2201,                 1.8548,                0.73631,                0.38793,                0.46804,                0.24074,                 1.9375,                 1.9874,                 1.8771,               0.009802,               0.009802,               0.009802
                     22,                 2.1372,                  2.197,                 1.8187,                0.89838,                0.34297,                0.48901,                0.25298,                 1.9264,                 1.9335,                 1.8711,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.1392,                  2.163,                  1.824,                0.83833,                0.39655,                0.51373,                0.25768,                 1.9494,                 2.0212,                 1.9073,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.0999,                 2.1154,                 1.7862,                0.79529,                0.41864,                 0.5327,                0.26537,                 1.8797,                 1.8313,                 1.8349,              0.0097723,              0.0097723,              0.0097723
                     25,                 2.0678,                 2.0729,                 1.7803,                0.80402,                0.38793,                0.52597,                0.24188,                 2.0083,                 1.9885,                 1.9317,              0.0097624,              0.0097624,              0.0097624
                     26,                 2.0859,                 2.0244,                 1.7715,                0.72172,                0.43103,                0.50715,                0.25214,                 1.8785,                 1.9375,                 1.8519,              0.0097525,              0.0097525,              0.0097525
                     27,                  2.033,                 2.0019,                 1.7482,                0.73089,                0.42672,                0.53651,                0.25801,                 1.9517,                  1.855,                 1.8862,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.0406,                  1.975,                 1.7567,                0.71809,                0.43534,                0.54589,                0.28644,                 1.9203,                 1.8683,                 1.8717,              0.0097327,              0.0097327,              0.0097327
                     29,                 2.0267,                  1.977,                 1.7466,                0.72665,                 0.4569,                0.56924,                0.27946,                 1.8876,                 1.8505,                   1.85,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.0135,                 1.9345,                 1.7226,                0.70171,                0.43534,                0.54702,                0.26873,                 1.8767,                 1.8455,                 1.8293,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.0192,                 1.9678,                 1.7386,                 0.6959,                0.45259,                0.57209,                0.29003,                 1.9014,                 1.7987,                 1.8452,               0.009703,               0.009703,               0.009703
                     32,                 2.0095,                 1.9321,                 1.7443,                0.82578,                0.43103,                0.55999,                0.26677,                 1.9241,                 1.8242,                 1.8705,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.0075,                 1.8789,                 1.7154,                 0.5612,                0.46552,                0.51294,                0.24653,                 1.8663,                 1.9387,                  1.822,              0.0096832,              0.0096832,              0.0096832
                     34,                 2.0046,                 1.8467,                 1.7114,                0.73789,                0.47326,                 0.5757,                0.29336,                 1.8456,                 1.7276,                   1.84,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.9841,                 1.8444,                 1.7029,                0.61301,                0.51293,                0.56993,                0.28144,                 1.8862,                  1.858,                 1.8533,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.9687,                 1.8285,                 1.7004,                0.66763,                0.52155,                0.60111,                0.28638,                 1.8258,                 1.7364,                 1.8251,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.9733,                 1.7886,                 1.6916,                 0.7964,                0.46983,                0.58971,                  0.283,                 1.8573,                 1.7783,                  1.816,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.9766,                 1.8417,                 1.7159,                0.77829,                0.48421,                0.61328,                0.30033,                 1.8318,                 1.7323,                 1.8226,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.9676,                 1.7976,                 1.7026,                0.81649,                0.47414,                0.61213,                 0.3178,                 1.8664,                 1.7245,                 1.8344,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.9786,                 1.8251,                 1.6923,                0.69871,                0.50431,                0.61448,                0.30464,                 1.8333,                 1.7728,                 1.7879,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.9479,                 1.7557,                  1.691,                0.76205,                0.52458,                0.63381,                0.30979,                 1.8004,                 1.6658,                 1.7804,               0.009604,               0.009604,               0.009604
                     42,                 1.9216,                 1.7127,                 1.6621,                0.64996,                0.49138,                0.60302,                0.31019,                 1.8048,                 1.6149,                 1.7991,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.9345,                 1.7196,                 1.6701,                0.77532,                0.47598,                0.61647,                 0.3025,                 1.8151,                 1.6003,                 1.7928,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.9263,                 1.7202,                 1.6749,                0.73704,                0.53157,                0.63062,                0.30028,                 1.8352,                 1.6045,                 1.8164,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.914,                 1.7371,                 1.6736,                0.71681,                0.50431,                0.60261,                 0.2999,                 1.8108,                 1.6491,                 1.7901,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.9005,                 1.6833,                 1.6655,                0.60898,                0.52155,                0.59965,                0.29267,                 1.8032,                 1.6624,                 1.7919,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.8983,                 1.6481,                 1.6605,                0.67459,                0.56897,                0.62863,                0.31009,                 1.7946,                 1.6141,                 1.7599,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.8924,                 1.6949,                 1.6645,                0.79138,                0.53879,                0.66206,                 0.3236,                 1.7584,                 1.5816,                 1.7592,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.8819,                 1.6468,                 1.6635,                0.68044,                0.56466,                0.65013,                0.32241,                 1.7873,                 1.5967,                 1.7831,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.8749,                 1.6176,                 1.6365,                0.75607,                0.57449,                0.67281,                0.32955,                 1.8011,                 1.5816,                 1.7798,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.8625,                 1.6209,                 1.6327,                0.73607,                0.55172,                0.64647,                0.32388,                 1.7462,                 1.6252,                 1.7506,               0.009505,               0.009505,               0.009505
