                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9981,                 7.4025,                 3.3835,                0.00173,                0.24138,                0.00172,                 0.0006,                 3.3213,                 6.7382,                 3.3597,              0.0033266,              0.0033266,              0.0033266
                      2,                 3.3764,                 5.3082,                 2.9693,                0.55039,                0.20259,                0.18337,                0.07676,                 2.9485,                 3.7161,                 2.8368,              0.0066534,              0.0066534,              0.0066534
                      3,                 3.0929,                 10.341,                  2.701,                0.76268,                 0.2069,                0.21563,                0.11114,                 2.6649,                 3.1754,                 2.5953,              0.0099735,              0.0099735,              0.0099735
                      4,                 2.9546,                 4.1951,                 2.5421,                0.50289,                0.19828,                0.20362,                0.11053,                 2.7148,                 3.8089,                 2.6415,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.7319,                 3.5983,                 2.3305,                0.76057,                0.26016,                0.28049,                0.12654,                 2.4646,                 3.0466,                 2.3738,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.6213,                  3.376,                 2.2257,                0.88825,                0.28879,                0.33213,                0.16464,                 2.2887,                 2.7334,                 2.2695,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.5448,                 3.2064,                 2.1386,                0.71886,                 0.2931,                0.30586,                0.16686,                 2.2594,                 2.6713,                 2.2308,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.4605,                 3.0807,                 2.1114,                0.89609,                 0.2931,                0.35075,                0.16673,                 2.2106,                 2.8284,                 2.1737,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.4268,                 3.0099,                 2.0641,                0.63611,                0.29741,                 0.3205,                0.16489,                 2.1191,                 2.5333,                 2.0994,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.3828,                 2.9242,                 2.0124,                0.79358,                 0.2931,                0.35485,                0.18259,                  2.122,                 2.4347,                 2.0831,              0.0099109,              0.0099109,              0.0099109
                     11,                  2.332,                 2.8579,                 2.0355,                0.78851,                0.30172,                0.37687,                0.17949,                 2.1076,                 2.3259,                 2.0421,               0.009901,               0.009901,               0.009901
                     12,                 2.3051,                 2.7208,                 1.9882,                 0.7208,                0.32759,                0.37986,                0.19689,                 2.0676,                 2.2579,                 2.0545,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.2441,                 2.7163,                 1.9539,                0.81217,                0.33621,                0.41573,                0.21014,                 2.0372,                 2.1749,                 2.0249,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.2043,                 2.5881,                 1.9146,                 0.5342,                0.38362,                0.43484,                0.20916,                 1.9977,                 2.1456,                 2.0207,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.1603,                  2.471,                 1.8887,                0.82221,                0.37069,                 0.4612,                0.22098,                 1.9248,                 2.1344,                 1.9544,              0.0098614,              0.0098614,              0.0098614
